"iso3","month","access","percapita_nets","loess_predicted_access"
"GMB",12,0.179282071947053,0.0452255725871575,0.0874722015224153
"GMB",11,0.179846171089939,0.0459799839958119,0.0886795306638085
"GMB",10,0.180142034878278,0.046667156031312,0.0897788108157493
"GMB",9,0.184628239308387,0.0483170563636577,0.0924165343147267
"GMB",8,0.192630693693026,0.0509758382595301,0.0966626181926703
"GMB",7,0.201296105668526,0.0537189914418048,0.101038175529751
"GMB",6,0.207966433916437,0.0563201853783902,0.10518301955648
"BDI",1,0.143764881714513,0.0582889260499779,0.108317713643594
"DJI",10,0.0541112136936896,0.0600299367671444,0.111088347960128
"GMB",5,0.217374568585653,0.0600525513386647,0.111124328528427
"DJI",11,0.054587217582499,0.0603566257292296,0.111608102420357
"DJI",12,0.0550887166603485,0.0605664062638733,0.111941837119727
"DJI",9,0.0565915187654345,0.061353510378879,0.113193880118804
"DJI",8,0.0618807723101754,0.0643881794559906,0.11801930130113
"GMB",4,0.227488522027087,0.0644308282035477,0.118087099501553
"DJI",7,0.0673444084161819,0.0674090189682448,0.122820620600667
"BDI",2,0.153951527512775,0.0682502449118953,0.124157423267357
"GMB",3,0.240508507222623,0.0698383246412925,0.12668090018974
"DJI",6,0.0744610465686485,0.0714155281519619,0.129187006693005
"GMB",2,0.253158543685522,0.0750400095373627,0.134946580370805
"DJI",5,0.0827569882234671,0.0757710971333728,0.136108519754165
"BDI",3,0.165198470699931,0.0796654697049449,0.142299904534706
"DJI",4,0.0913184987531672,0.080573051751278,0.143743418466871
"GMB",1,0.266880006109316,0.0812066857300785,0.144751385927876
"DJI",3,0.102321800192796,0.0855705471461104,0.15169784830026
"DJI",2,0.114654644061141,0.0913632328622041,0.160934812223031
"BDI",4,0.178673377120354,0.0931923748166699,0.163856354322375
"DJI",1,0.127374929753224,0.0976816912001019,0.171038619325834
"ETH",12,0.156390348316666,0.103850741843157,0.1809405732609
"ETH",11,0.156651724286867,0.1044416972465,0.181891351299003
"ETH",10,0.156440472999908,0.104793010119875,0.182456771808916
"GAB",10,0.140293219752267,0.10576907789647,0.184028498766777
"GAB",11,0.140797391065951,0.106089781676924,0.184545175747287
"GAB",12,0.141560871837165,0.106128314905715,0.184607264302484
"ETH",9,0.158718247167036,0.10621677748049,0.184749811086846
"GAB",9,0.142548179475694,0.106586298574136,0.18534535759685
"BDI",5,0.191427658313153,0.107878859106828,0.18742993083327
"GAB",8,0.147119199658728,0.108228758499561,0.187994608979217
"ETH",8,0.163866806460955,0.108718945116356,0.188785963626792
"GAB",7,0.151576702050819,0.110093538992099,0.191006857353586
"ETH",7,0.169714106131411,0.111593665167526,0.193433612453653
"GAB",6,0.156394050487495,0.112412135497597,0.194759033120772
"ETH",6,0.174651205573727,0.114646734076417,0.198382863670348
"AGO",7,0.167992998268101,0.114935423879498,0.198851593981875
"AGO",8,0.167815536219791,0.114999116733099,0.198955026424256
"GAB",5,0.161482212615422,0.115193221937254,0.199270278501588
"AGO",6,0.168529012409815,0.115556207672012,0.199859975719445
"AGO",9,0.16798042342665,0.115723846816635,0.200132389230714
"AGO",10,0.167921467789288,0.116093850027344,0.200733804754965
"AGO",11,0.167877939239431,0.116394650870731,0.201222900285457
"AGO",12,0.1682270496615,0.116647152008868,0.20163357577118
"AGO",5,0.169383541576721,0.116791509600544,0.201868410395226
"GAB",4,0.165536498392322,0.117023979986659,0.20224665537176
"ETH",5,0.179307321920253,0.117207191782391,0.20254481642093
"AGO",4,0.169760241924799,0.117279881817796,0.202663128517248
"AGO",3,0.17015216340004,0.117442896535972,0.202928487349788
"AGO",2,0.171693430550573,0.118258210283664,0.204256342847795
"GAB",3,0.17047194402568,0.11888935933542,0.205285035785367
"AGO",1,0.174016223076353,0.119347043548264,0.206031432344956
"ETH",4,0.182911915066978,0.119577565657191,0.206407508316549
"GAB",2,0.175601940334027,0.120846046029533,0.208478854916977
"ETH",3,0.18794540669107,0.122374334083339,0.210978784359587
"GAB",1,0.181387109292493,0.123066337015371,0.212112242462606
"BDI",6,0.205690783747672,0.124239704077022,0.214036201214965
"ETH",2,0.192171996181162,0.124463753432038,0.214403859795844
"ETH",1,0.196612989780259,0.126893123305283,0.218396027763705
"SOM",1,0.212011502472744,0.128516208296521,0.221068684537366
"SOM",2,0.215078813529801,0.129927730915122,0.223396268168814
"SOM",3,0.216864017226673,0.130869076295747,0.224950144377906
"SOM",4,0.221394306931677,0.132984313421992,0.228446144525605
"SOM",5,0.228142905883929,0.135904355425744,0.233281319511001
"SOM",6,0.232727932190626,0.137658441580029,0.23619026222512
"SOM",7,0.236115271879549,0.138869488736795,0.238200348560758
"BDI",7,0.217514486461654,0.139406986233909,0.239092894208263
"SOM",8,0.23840323668273,0.140050164575698,0.240161241907851
"SOM",9,0.241049326814152,0.141468949228373,0.242519029044859
"SOM",10,0.243682922913824,0.142636858759498,0.244460956860408
"SOM",12,0.245291570039811,0.143096863956636,0.245226061604558
"LBR",12,0.204595701121625,0.143325717903996,0.245606750099735
"SOM",11,0.245345135581731,0.143355479584246,0.245656259564521
"LBR",10,0.202995412011854,0.143482679656254,0.245867866437533
"LBR",11,0.203881656522143,0.143651321228358,0.246148428338996
"LBR",9,0.206035883917772,0.144281445754971,0.247196876042719
"LBR",8,0.214525651254976,0.147269425606952,0.252170974726266
"MRT",1,0.307381742959143,0.150580734894134,0.25768653394184
"LBR",7,0.223399135150457,0.151092661459087,0.258539393313661
"BDI",8,0.22732682354237,0.155076751738262,0.265176728792649
"LBR",6,0.236833513108938,0.156592172090877,0.267700778944578
"LBR",5,0.254786945353074,0.163719385721454,0.279558991513105
"ZWE",11,0.313148346636509,0.164481112073544,0.280824494065079
"ZWE",8,0.317331283281295,0.164582601950698,0.280993070801598
"ZWE",10,0.313391489750088,0.164707451695704,0.28120043728741
"ZWE",9,0.315325291851689,0.164928399714952,0.281567384761209
"ZWE",7,0.320216848118709,0.165515705493897,0.282542574570244
"ZWE",12,0.314262092235018,0.165742879901147,0.282919705610663
"ZWE",6,0.323207684092201,0.167366036798097,0.2856129235247
"ZWE",5,0.326552205742071,0.16997226223221,0.289931711089526
"LBR",4,0.271938920740447,0.170673261752003,0.291092042177119
"ZWE",4,0.329501036469742,0.172468415559339,0.294060717543387
"BDI",9,0.238745545128708,0.172680529987795,0.294411220186029
"ZWE",3,0.331626832965487,0.174564857918435,0.29752221269446
"ZWE",2,0.332915483761325,0.176090442446884,0.300037148903151
"ZWE",1,0.334087195909692,0.176810703500385,0.301223257091369
"MRT",2,0.354904512320977,0.17701984327065,0.301567508314371
"GNQ",10,0.277800503304674,0.178433899069011,0.303893203866126
"GNQ",12,0.280050123435756,0.178576845755157,0.304128120672679
"GNQ",11,0.278979663602751,0.178731041388045,0.304381484429567
"LBR",3,0.294899721369645,0.180271442126002,0.306910267617632
"GNQ",9,0.281497083153914,0.180474715944513,0.307243650644728
"MDG",11,0.296628070028402,0.181404061716026,0.308766862630254
"MDG",10,0.296943442343156,0.181499516573858,0.308923222329761
"MDG",12,0.29797525137346,0.182328553103557,0.310280486088642
"BDI",10,0.245778411411722,0.182636675070953,0.310784588176697
"BDI",11,0.247592454153805,0.184088113168356,0.3131566432119
"GNQ",8,0.289443585555809,0.184690349321991,0.314139590776615
"BDI",12,0.248056554024377,0.184782953908692,0.314290668756065
"MDG",9,0.307978106591967,0.188058431001401,0.319622283996727
"GNQ",7,0.298577558682089,0.189450051013142,0.321880017292404
"LBR",2,0.320906171385298,0.190734147455219,0.323959139667124
"GNQ",6,0.307014449461801,0.194563956760964,0.330134974411169
"GNQ",5,0.31412972022862,0.199421979770932,0.337996930398698
"MDG",8,0.32999572190834,0.201774850841344,0.341840142373006
"LBR",1,0.348174698794923,0.202652576695044,0.343279266452704
"MRT",3,0.399401527079594,0.202792906679936,0.343509615756464
"GNQ",4,0.322258492039505,0.204104043187349,0.345665239341184
"GNQ",3,0.330387555804767,0.208436606410605,0.352829205029985
"RWA",1,0.407588152313281,0.209128578885036,0.353978730164774
"GNQ",2,0.338107021667189,0.212636312224926,0.359825802681642
"MDG",7,0.351785057169004,0.215486000036189,0.364597738942973
"GNQ",1,0.34687726730449,0.217262559277231,0.367581113873602
"RWA",2,0.428555885179722,0.228527217214155,0.386598776296484
"MRT",4,0.440292141968886,0.228761451305479,0.386995309065125
"GHA",12,0.427041848363137,0.229815597814101,0.388780046157582
"GHA",11,0.426536617494543,0.230478897942127,0.389903160546057
"GHA",10,0.426110089699137,0.230587467864058,0.390086997983191
"MDG",6,0.372353427722232,0.2308077460127,0.390459989143935
"NGA",12,0.397664447883241,0.233549678063053,0.39510255523981
"NGA",11,0.398878864733638,0.23497562547737,0.397516171776813
"NGA",6,0.397761665131379,0.236014844770575,0.399274583565801
"NGA",10,0.400096198409589,0.236130044046676,0.399469467418308
"NGA",7,0.398564878630188,0.236153061931138,0.399508406003388
"NGA",5,0.397348803022109,0.236314710063607,0.39978185100485
"NGA",8,0.399525090160941,0.236529271902562,0.400144778148252
"NGA",9,0.399733171261476,0.236581042272258,0.400232341972075
"NGA",4,0.39883661415014,0.237236304467865,0.401340476659072
"NGA",3,0.401060635913109,0.238351085618981,0.403224923988783
"NGA",2,0.403862129001571,0.239054396154313,0.404413231008912
"GHA",9,0.437568622201958,0.239332942924361,0.404883724200521
"NGA",1,0.406491942390796,0.240230480810238,0.406399184183816
"RWA",3,0.449501950087558,0.247842746059306,0.419205001405184
"MDG",5,0.392877164127927,0.248028908819003,0.41951684731234
"MRT",5,0.474276217091849,0.253805590621734,0.429151980849541
"GHA",8,0.46194513549907,0.256295006107619,0.433275631092806
"TCD",1,0.438463766656527,0.264258190961578,0.446322090113576
"MDG",4,0.413631595448725,0.26483870562138,0.4472634019152
"RWA",4,0.470002806845589,0.268237051739705,0.452743762893522
"GHA",7,0.487518912760873,0.273760407781595,0.461531311363221
"MRT",6,0.511661291421003,0.280902296708503,0.472643044148715
"MDG",3,0.431716401749578,0.282011412080539,0.474340585558793
"RWA",5,0.487277303069907,0.288331437589143,0.483854899276107
"GHA",6,0.510838035235938,0.292109156220535,0.489403863748049
"KEN",1,0.476879147677062,0.29422457875083,0.492462744912363
"ERI",1,0.430735104245522,0.294533170156168,0.492905962177682
"MDG",2,0.44593891664986,0.298028239504706,0.497870733242795
"CIV",12,0.550607414294016,0.300882531242098,0.50184763919661
"KEN",2,0.482969895934813,0.30163107237028,0.502878624301771
"ZMB",1,0.532990632625855,0.301739582117405,0.503027657675998
"CIV",10,0.549029789587187,0.301808616147111,0.503122417300399
"CIV",11,0.550010592677116,0.301866420447668,0.503201729139264
"CIV",9,0.548902699571355,0.302515511301022,0.504090239685451
"CIV",8,0.551849226929262,0.304973652827351,0.507419754060504
"TCD",2,0.485654970362231,0.306105843477862,0.508934121234541
"MRT",7,0.544370696482722,0.306153464081564,0.508997547109903
"CIV",7,0.555517078861122,0.307906578955244,0.511317190718112
"RWA",6,0.50491205147927,0.308522838404068,0.51212543177716
"KEN",3,0.488913019574225,0.309000018765941,0.512748674324302
"ERI",2,0.44356253710864,0.309487125219804,0.513382531546593
"GHA",5,0.530574349425592,0.311183406028581,0.515571113083829
"SSD",1,0.515148150611925,0.311860795168666,0.516436862913151
"CIV",6,0.560474721210732,0.312341848270746,0.51704879409858
"MDG",1,0.4620849378049,0.315201871341358,0.520638168943289
"CIV",5,0.565693175467359,0.317052128551483,0.522917858369767
"KEN",4,0.497339823697759,0.317730243210509,0.523745444768693
"TZA",10,0.520728674469294,0.319741186567437,0.526175826343697
"TZA",9,0.521257144667689,0.319922431638665,0.526393178048821
"TZA",8,0.522880678881409,0.320761431066846,0.527395782826303
"TZA",11,0.522710396101534,0.320930718911093,0.527597386338872
"ZMB",2,0.557361589598777,0.321404873336759,0.528160830786457
"CIV",4,0.571378617542523,0.321697406655209,0.528507563584729
"TZA",7,0.524289084233555,0.321785666873934,0.528612044489817
"TZA",12,0.524571633594387,0.322273120204282,0.529187993724815
"ERI",3,0.454523684036991,0.323264992297238,0.530354348147519
"TZA",6,0.526348165339478,0.323871910761691,0.531064428713438
"SEN",12,0.593899605495071,0.324516626466203,0.531815819717263
"RWA",7,0.518701894060298,0.325563309938171,0.533029490297105
"TZA",5,0.528159946743594,0.325894543078583,0.533412013132216
"SEN",11,0.595707397199317,0.32663831411217,0.534268307978571
"TZA",4,0.528361834675355,0.326841166799459,0.534501226026357
"CIV",3,0.57706947009038,0.326878484773712,0.53454404629282
"TZA",3,0.528917329770631,0.327876296945003,0.535685730463208
"TZA",2,0.528666262224634,0.328041158162354,0.53587377036528
"KEN",5,0.507591944904895,0.328293140333995,0.536160862381112
"SEN",10,0.597349858358139,0.328556097237033,0.536460053112319
"TZA",1,0.529287737459466,0.328799233415526,0.53673632808531
"MRT",8,0.568103730385488,0.329281578631081,0.537283396959665
"GNB",1,0.53533520144666,0.329439272762618,0.537461961664977
"GHA",4,0.55184850352545,0.329907543813425,0.537991381524051
"CIV",2,0.58442696921717,0.331588211577692,0.539881726314286
"SDN",1,0.532527027561076,0.332714912271925,0.541140898576126
"SDN",2,0.532886740010812,0.333530582625756,0.542048684230933
"SDN",3,0.531411822661833,0.334258030834707,0.542855740893714
"SDN",4,0.531068226856155,0.335097459840152,0.543784198247192
"SDN",5,0.5323650263498,0.336594629897914,0.54543311443191
"CIV",1,0.592132345610421,0.33769538856119,0.546640142288032
"KEN",6,0.515869689483335,0.337815336077943,0.546771416967804
"SDN",6,0.535223924305709,0.33816958698538,0.547158843615163
"ERI",4,0.466407603444756,0.338518547828903,0.547540088503706
"ZMB",3,0.580864569177054,0.339427416733674,0.548531280838927
"SDN",7,0.539555166452977,0.340779496882074,0.550001493261571
"RWA",8,0.529570146497084,0.341116286196141,0.550366970016252
"MOZ",1,0.629093977003293,0.341138769067361,0.550391358121398
"SEN",9,0.607560106682301,0.342266142324249,0.551612777417441
"SDN",8,0.543703838873529,0.343661237405578,0.553120625503179
"TCD",3,0.530393732381418,0.345806185613016,0.555432754056855
"KEN",7,0.522505460301863,0.345997917777561,0.555639143437683
"SDN",12,0.547145433439134,0.346154582002804,0.555807755470863
"SDN",11,0.546019623658647,0.346175335085445,0.55583008939662
"SDN",9,0.5458757927544,0.346400499492523,0.556072378432995
"SDN",10,0.545770230523364,0.346571196780181,0.556256026248983
"SSD",2,0.549550926596462,0.346980732091998,0.556696529895548
"GHA",3,0.572094108569436,0.350707744852585,0.560701814632846
"MWI",11,0.584719760137309,0.352210413667043,0.562316925638212
"MRT",9,0.592878014779788,0.352573388406115,0.562707258665946
"MWI",10,0.58515632816308,0.353094581805553,0.563267921236955
"ERI",5,0.479420902187626,0.354026541691115,0.564271116732333
"MOZ",2,0.64077099458768,0.354478719743147,0.564758217981694
"KEN",8,0.528643376452652,0.354608226430706,0.564897775573867
"MWI",12,0.587839197971136,0.354827271829366,0.565133873078851
"ZMB",4,0.601877006177945,0.356558776180172,0.56700280540282
